,variable,value
229,22,23.826076956521746
230,23,31.916656666666665
231,23,25.791656666666665
232,23,19.99999
233,23,41.45832333333333
234,23,24.70832333333333
235,23,21.541656666666665
236,23,20.999989999999997
237,23,23.541656666666665
238,23,24.166656666666665
239,23,23.45832333333333
240,24,31.39999
241,24,25.39999
242,24,20.19999
243,24,41.359989999999996
244,24,25.03999
245,24,21.19999
246,24,20.639989999999997
247,24,23.519989999999996
248,24,23.87999
249,24,23.07999
250,25,30.99999
251,25,24.923066923076924
252,25,20.23075923076923
253,25,40.3076823076923
254,25,24.538451538461537
255,25,22.99999
256,25,20.384605384615384
257,25,23.23075923076923
258,25,25.153836153846154
259,25,22.769220769230767
260,26,31.296286296296298
261,26,25.333323333333333
262,26,19.925915925925924
263,26,40.14813814814815
264,26,24.03702703703704
265,26,23.03702703703704
266,26,20.03702703703704
267,26,23.03702703703704
268,26,25.48147148148148
269,26,22.48147148148148
270,27,31.071418571428573
271,27,26.857132857142858
272,27,19.714275714285716
273,27,40.03570428571429
274,27,24.071418571428573
275,27,23.535704285714285
276,27,20.49999
277,27,22.785704285714285
278,27,24.92856142857143
279,27,22.107132857142858
280,28,30.344817586206897
281,28,26.551714137931036
282,28,19.793093448275865
283,28,41.31033482758621
284,28,23.586196896551726
285,28,23.10343827586207
286,28,21.931024482758623
287,28,22.689645172413794
288,28,24.655162413793104
289,28,21.724127931034484
290,29,30.899990000000003
291,29,26.599990000000002
292,29,21.333323333333336
293,29,41.46665666666667
294,29,23.66665666666667
295,29,22.866656666666668
296,29,21.633323333333337
297,29,22.399990000000003
298,29,24.533323333333335
299,29,21.499990000000004
300,30,30.387086774193552
301,30,26.677409354838712
302,30,20.967731935483876
303,30,41.22579645161291
304,30,24.06450612903226
305,30,22.516119032258068
306,30,22.096764193548392
307,30,22.225796451612908
308,30,24.322570645161292
309,30,21.41934483870968
310,31,30.312489999999997
311,31,26.249989999999997
312,31,20.624989999999997
313,31,41.09374
314,31,24.156239999999997
315,31,24.781239999999997
316,31,21.843739999999997
317,31,22.124989999999997
318,31,24.593739999999997
319,31,21.031239999999997
320,32,29.969686969696966
321,32,25.818171818181817
322,32,20.606050606060602
323,32,40.63635363636364
324,32,24.48483848484848
325,32,24.515141515151512
326,32,21.909080909090907
327,32,23.48483848484848
328,32,24.333323333333333
329,32,20.727262727272723
330,33,29.823519411764703
331,33,25.794107647058823
332,33,20.676460588235294
333,33,39.852931176470584
334,33,24.26469588235294
335,33,24.058813529411765
336,33,21.61763705882353
337,33,23.23528411764706
338,33,23.852931176470587
339,33,21.11763705882353
340,34,30.228561428571428
341,34,25.799989999999998
342,34,20.57141857142857
343,34,39.17141857142857
344,34,24.914275714285715
345,34,23.799989999999998
346,34,21.685704285714284
347,34,22.799989999999998
348,34,23.457132857142856
349,34,20.857132857142858
350,35,30.66665666666667
351,35,25.63887888888889
352,35,20.472212222222222
353,35,39.63887888888889
354,35,24.77776777777778
355,35,23.49999
356,35,21.61110111111111
357,35,23.694434444444443
358,35,23.305545555555554
359,35,20.77776777777778
360,36,31.45944945945946
361,36,25.81080081081081
362,36,20.16215216216216
363,36,39.162152162162165
364,36,24.486476486486488
365,36,23.62161162162162
366,36,21.405395405405407
367,36,23.486476486486488
368,36,24.405395405405407
369,36,20.81080081081081
370,37,31.36841105263158
371,37,25.86841105263158
372,37,20.973674210526315
373,37,39.21051631578948
374,37,24.263147894736843
375,37,23.763147894736843
376,37,21.842095263157898
377,37,23.289463684210528
378,37,24.05262157894737
379,37,20.55262157894737
380,38,30.99999
381,38,25.641015641025643
382,38,20.897425897435898
383,38,38.61537461538462
384,38,24.179477179487183
385,38,23.615374615384617
386,38,21.564092564102566
387,38,23.82050282051282
388,38,24.07691307692308
389,38,20.35896435897436
390,39,30.724990000000002
391,39,25.24999
392,39,20.799989999999998
393,39,38.94999
394,39,24.024989999999995
395,39,23.64999
396,39,21.674989999999998
397,39,24.199989999999996
398,39,23.97499
399,39,20.374989999999997
400,40,30.975599756097566
401,40,25.634136341463414
402,40,20.73169731707317
403,40,38.78047780487805
404,40,24.12194121951219
405,40,24.02438024390244
406,40,21.560965609756096
407,40,24.097550975609753
408,40,24.39023390243902
409,40,20.4390143902439
410,41,31.023799523809526
411,41,25.69046619047619
412,41,20.666656666666665
413,41,38.0952280952381
414,41,24.166656666666665
415,41,23.714275714285716
416,41,21.333323333333333
417,41,23.95237095238095
418,41,24.714275714285712
419,41,20.19046619047619
420,42,30.90696674418605
421,42,25.883710930232557
422,42,20.744176046511626
423,42,37.6046411627907
424,42,24.69766441860465
425,42,23.674408604651163
426,42,21.302315581395348
427,42,23.930222558139533
428,42,25.162780697674417
429,42,20.023245813953487
430,43,30.522717272727277
431,43,25.636353636363637
432,43,21.477262727272727
433,43,37.40908090909091
434,43,24.409080909090907
435,43,23.59089909090909
436,43,21.24999
437,43,23.704535454545454
438,43,24.886353636363637
439,43,19.886353636363637
440,44,30.422212222222228
441,44,25.622212222222224
442,44,21.68887888888889
443,44,36.79999000000001
444,44,24.911101111111112
445,44,23.866656666666668
446,44,21.222212222222222
447,44,23.377767777777777
448,44,24.955545555555556
449,44,19.733323333333335
450,45,30.45651173913044
451,45,25.369555217391305
452,45,22.108685652173914
453,45,37.1304247826087
454,45,25.26085956521739
455,45,24.630424782608696
456,45,21.304337826086957
457,45,23.08694652173913
458,45,24.891294347826086
459,45,19.608685652173914
460,46,30.3404155319149
461,46,25.25530914893617
462,46,22.4467985106383
463,46,36.574458085106386
464,46,25.340415531914896
465,46,25.17020276595745
466,46,21.148926170212768
467,46,23.02126659574468
468,46,24.74467085106383
469,46,19.4467985106383
470,47,29.999989999999997
471,47,25.354156666666665
472,47,22.374989999999997
473,47,36.45832333333333
474,47,25.39582333333333
475,47,25.354156666666665
476,47,21.08332333333333
477,47,22.916656666666665
478,47,24.604156666666665
479,47,19.39582333333333
480,48,30.04080632653061
481,48,25.469377755102037
482,48,22.122438979591834
483,48,35.99999
484,48,25.57141857142857
485,48,25.61223489795918
486,48,20.897949183673468
487,48,22.999989999999997
488,48,24.448969591836732
489,48,19.224479795918366
490,49,30.03999
491,49,26.459989999999998
492,49,22.359989999999996
493,49,36.33999
494,49,25.23999
495,49,26.159989999999997
496,49,20.839989999999997
497,49,22.819989999999997
498,49,24.959989999999998
499,49,19.09999
500,50,29.999989999999997
501,50,26.372539019607842
502,50,22.76469588235294
503,50,36.54900960784314
504,50,25.72548019607843
505,50,26.19606843137255
506,50,20.68626450980392
507,50,22.823519411764703
508,50,24.784303725490194
509,50,19.11763705882353
510,51,29.846143846153844
511,51,26.653836153846154
512,51,23.288451538461537
513,51,36.49999
514,51,26.096143846153844
515,51,26.46152846153846
516,51,20.557682307692307
517,51,22.788451538461537
518,51,24.74999
519,51,18.98075923076923
520,52,29.528291886792452
521,52,26.924518301886792
522,52,23.50942396226415
523,52,36.39621641509434
524,52,26.132065471698112
525,52,26.60376358490566
526,52,20.37734849056604
527,52,22.622631509433962
528,52,24.660367358490564
529,52,19.49055603773585
530,53,29.592582592592592
531,53,27.055545555555554
532,53,23.555545555555554
533,53,36.33332333333333
534,53,26.222212222222222
535,53,26.796286296296298
536,53,20.685175185185184
537,53,22.87036037037037
538,53,24.944434444444443
539,53,19.333323333333333
